Date,Open,High,Low,Close
2021-12-22,49103,49557,48477,49082
2021-12-23,49082,51364,48077,50843
2021-12-24,50849,51836,50513,50898
2021-12-25,50898,51144,50220,51001
2021-12-26,51003,51003,49568,50802
2021-12-27,50802,51976,50487,50996
2021-12-28,50990,51228,47330,47586
2021-12-29,47586,48152,46664,47210
2021-12-30,47233,47893,46019,47239
2021-12-31,47239,48564,45715,46322
2022-01-01,46338,47912,46196,47312
2022-01-02,47312,47946,46709,47021
2022-01-03,47026,47544,45745,46055
2022-01-04,46055,47490,45586,46298
2022-01-05,46298,46851,43522,43658
2022-01-06,43658,43764,42529,43114
2022-01-07,43114,43233,40769,41908
2022-01-08,41884,42206,40614,41786
2022-01-09,41786,42771,41285,42334
2022-01-10,42314,42484,39712,41705
2022-01-11,41705,43109,41304,42686
2022-01-12,42686,44303,42498,43815
2022-01-13,43815,44401,42354,42826
2022-01-14,42826,43411,41865,43329
2022-01-15,43329,43775,42620,43346
2022-01-16,43332,43472,42622,43011
2022-01-17,43011,43275,41632,41741
2022-01-18,41741,42476,41319,42401
2022-01-19,42401,42604,41200,41739
2022-01-20,41733,43517,41389,41391
2022-01-21,41391,41524,36208,36689
2022-01-22,36701,37149,34163,35461
2022-01-23,35461,36157,34694,35389
2022-01-24,35379,37397,33070,36851
2022-01-25,36851,37501,35741,36632
2022-01-26,36632,38874,36371,36371
2022-01-27,36371,37168,35551,36223
2022-01-28,36223,38009,35934,37818
2022-01-29,37818,38673,37362,38437
2022-01-30,38437,38437,37411,37747
2022-01-31,37747,38728,36703,38444
2022-02-01,38444,39261,38051,38741
2022-02-02,38741,38900,36686,36877
2022-02-03,36877,37220,36279,36964
2022-02-04,36967,40890,36833,40647
2022-02-05,40647,41919,40410,41718
2022-02-06,41670,42094,41229,41693
2022-02-07,41693,44495,41609,44050
2022-02-08,44050,45403,42727,44264
2022-02-09,44264,44837,43202,44502
2022-02-10,44502,45758,43350,43753
2022-02-11,43753,44113,42253,42561
2022-02-12,42561,43025,41816,41910
2022-02-13,41910,42743,41889,42259
2022-02-14,42259,42843,41646,42257
2022-02-15,42257,44512,42243,44007
2022-02-16,44007,44741,43415,44091
2022-02-17,44091,44181,40128,40708
2022-02-18,40708,40964,39622,39996
2022-02-19,39996,40467,39690,39936
2022-02-20,39936,40152,38037,38249
2022-02-21,38249,39464,37193,37193
2022-02-22,37018,38269,36420,37913
2022-02-23,37913,39214,37441,37571
2022-02-24,37521,39136,34413,38396
2022-02-25,38396,39681,37801,39009
2022-02-26,38992,40081,38661,39479
2022-02-27,39479,39834,37063,37461
2022-02-28,37440,41928,37428,41650
2022-03-01,41650,44957,41650,43870
2022-03-02,43899,45309,43372,43950
2022-03-03,43950,44224,41848,42127
2022-03-04,42117,42659,39106,39410
2022-03-05,39410,39583,38641,39396
2022-03-06,39378,39660,38144,38994
2022-03-07,38994,39534,37187,37873
2022-03-08,37873,39372,37823,38545
2022-03-09,38545,42552,38515,41910
2022-03-10,41910,42123,38770,39302
2022-03-11,39330,40189,38261,38869
